Artist,Year,Title,Date,Medium,Acquisition Date,Department,Classification,Nationality,Gender,Birth Year,Death Year
William Brui,1974,Plate (folio 2 verso or 17) from EX ADVERSO,1969,Unknown,1973-10-24,Prints & Illustrated Books,Illustrated Book,Israeli,Male,1946,
Ernst Neizvestny,1974,Drawing for Battle of Giants,1964,Pencil and ink on paper,1965-04-06,Drawings,Drawing,Russian,Male,1925,2016
Vladimir Nikolaevich Nemukhin,1974,Cards on a Marquetry Table,1966,"Oil, tempera and collage of playing cards on canvas",1967-10-18,Painting & Sculpture,Painting,Russian,Male,1925,
Dimitri Petrovich Plavinsky,1974,Palegraphic Composition,1966,Touche and ink on paper,1967-10-18,Drawings,Drawing,Russian,Male,1937,2012
Dmitri M. Shashurin,1974,Elements of Life,1962,Oil on board,1963-01-08,Drawings,Drawing,Russian,Male,1919,
Helen Levitt,1974,New York,1941,Gelatin silver print,1946-05-07,Photography,Photograph,American,Female,1913,2009
Michael Hurson,1974,"CANIS (plate, folio 63 verso) from A BESTIARY",1990,"Linoleum cut, printed in color",1991-01-23,Prints & Illustrated Books,Illustrated Book,American,Male,1941,
Berenice Abbott,1974,"Exchange Place, New York",1933,Gelatin silver print,1941-01-16,Photography,Photograph,American,Female,1898,1991
Manuel Álvarez Bravo,1974,"Coyoacan, Mexico, D.F",1975,Gelatin silver print,1977-03-10,Photography,Photograph,Mexican,Male,1902,2002
Eugène Atget,1974,Tuileries Sanglier / d'apres l'antique,1911,Albumen silver print,1968-03-06,Photography,Photograph,French,Male,1857,1927
Margaret Bourke-White,1974,"The Towering Smokestacks of the Otis Steel Co., Cleveland",1927,Gelatin silver print,1964-01-07,Photography,Photograph,American,Female,1904,1971
Brassaï,1974,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Shusaku Arakawa,1974,Double page plate (pages 10 and 11) from EUREKA,1991,Unknown,1991-01-22,Prints & Illustrated Books,Illustrated Book,American,Male,1936,2010
Vito Acconci,1974,"Behavior Fields - Transaction Arenas - Training Grounds - Maneuver Positions: Notes on the Development of a Show (Sonnabend, New York; January 15-29, 1972), Notes Toward Performing a Gallery Space",1973,Illustrated book with photolithographic reproductions,1974-04-23,Prints & Illustrated Books,Illustrated Book,American,Male,1940,
Lynda Benglis,1974,Victor,1974,"Aluminum screen, cotton bunting, plaster, sprayed zinc, steel, and tin",1975-12-09,Painting & Sculpture,Sculpture,American,Female,1941,
Robert Morris,1974,25 plates from Untitled (Xerox Book),1968,Offset lithographs,1969-02-10,Prints & Illustrated Books,Illustrated Book,American,Male,1931,
Richard Serra,1974,Pittsburgh,1985,Paintstik on paper mounted on thin fabric,1987-04-03,Drawings,Drawing,American,Male,1938,
Keith Sonnier,1974,Video Still Screen III from the Video Still Series,1973,"Screenprint, with crayon additions",1975-05-09,Prints & Illustrated Books,Print,American,Male,1941,
William Wegman,1974,Elephant II,1981,Color instant print (Polaroid),1982-03-11,Photography,Photograph,American,Male,1943,
Marlene Scott V,1974,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Mel Bochner,1974,On Certainty/Über Gewissheit and supplementary suite Counting Alternatives: The Wittgenstein Illustrations,1991,Illustrated book with 17 line block reproductions and a supplementary suite,1991-05-22,Prints & Illustrated Books,Illustrated Book,American,Male,1940,
Hanne Darboven,1974,49 x 49 (7 x 7 = 49),1972,Graphite pencil on 49 sheets of lined paper,1973-05-24,Drawings,Drawing,German,Female,1941,2009
Will Insley,1974,"Stage Space, Reduce",1967,Ink and pencil on paper,1973-05-24,Drawings,Drawing,American,Male,1929,2011
Edda Renouf,1974,Marks II,1973,Pastel on paper,1974-02-12,Drawings,Drawing,American,Female,1943,
J. H. Adams,1974,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Percy Byron,1974,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Frances Benjamin Johnston,1974,"General Samuel Chapman Armstrong. Born in the Sandwich Islands 1831. Founded Hampton Institute 1868. Died, Its Principal, May 11, 1893",1900,Platinum print,1965-11-09,Photography,Photograph,American,Female,1864,1952
Waldemar Titzentheler,1974,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Sonia Landy Sheridan,1974,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Keith Smith,1974,Untitled,1965,Gelatin silver print,1966-01-11,Photography,Photograph,American,Male,1938,
Charles Arnoldi,1974,Untitled,1980,Oil on paper,1981-04-28,Drawings,Drawing,American,Male,1946,
Cynthia Carlson,1974,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Ree Morton,1974,Of Previous Dissipations,1974,Oil on wood with celastic,1988-10-11,Painting & Sculpture,Painting,American,Female,1936,1977
Joel Shapiro,1974,"HUMMINGBIRD (plate, folio 73 verso) from A BESTIARY",1990,"Woodcut, printed in black",1991-01-23,Prints & Illustrated Books,Illustrated Book,American,Male,1941,
Marjorie Strider,1974,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Richard Avedon,1974,John Lennon,1967,Offset lithograph,1988-04-27,Architecture & Design,Design,American,Male,1923,2004
Rafael Ferrer,1974,Untitled from The Atelier Project,1986,Unknown,1988-05-04,Prints & Illustrated Books,Print,American,Male,1933,
Joseph Cornell,1974,Portrait of the Artist's Daughter by Vigée-Lebrun,1960,Cut-and-pasted printed paper in wood frame with glass,1984-11-29,Drawings,Drawing,American,Male,1903,1972
Max Ernst,1974,"Arp, Max Ernst, A. Giacometti, Miro, Gonzalez",1934,Letterpress,1952-05-20,Architecture & Design,Design,French,Male,1891,1976
John D. Graham,1974,Celia,1944,Pencil on transparentized paper,1978-04-04,Drawings,Drawing,American,Male,1881,1961
Auguste Rodin,1974,Frontispiece from LE JARDIN DES SUPPLICES,1902,Unknown,1964-10-06,Prints & Illustrated Books,Illustrated Book,French,Male,1840,1917
Ken Domon,1974,Mr. and Mrs. Kotani: Two Who Have Suffered from the Bomb,1957,Gelatin silver print,1974-01-29,Photography,Photograph,Japanese,Male,1909,1990
Masahisa Fukase,1974,Yohko,1963,Gelatin silver print,1977-06-09,Photography,Photograph,Japanese,Male,1934,2012
Eikoh Hosoe,1974,Ordeal by Roses #2,1962,Gelatin silver print,1974-06-04,Photography,Photograph,Japanese,Male,1933,
Tetsuya Ichimura,1974,"Meiji-Maru, Etchu-Jima, Tokyo",1967,Gelatin silver print,1977-06-09,Photography,Photograph,Japanese,Male,1930,
Ikko (Ikko Narahara),1974,"Airstream Trailer in Moonlight, Utah",1972,Gelatin silver print,1977-03-10,Photography,Photograph,Japanese,Male,1931,
John Ebstel,1974,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Louis I. Kahn,1974,"Memorial to the Six Million Jewish Martyrs, project, New York City, New York, Perspective of central pier",1968,Charcoal and graphite on tracing paper,1997-01-15,Architecture & Design,Architecture,American,Male,1901,1974
Robert Lautman,1974,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Hans Namuth,1974,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Adolph Gottlieb,1974,Ashes of Phoenix,1948,Gouache on paper,1996-03-14,Drawings,Drawing,American,Male,1903,1974
Giulio Paolini,1974,Oeuvres Complètes,1993,"Lithograph with pencil additions, printed on recto and verso, accompanied by the text ""Une Reverie: Émanée de mes loisirs"" by Jean- Claude Lebensztejn",1996-03-12,Prints & Illustrated Books,Illustrated Book,Italian,Male,1940,
Marc Chagall,1974,"Chagall, Kunsthaus Zürich, Dezember 1950-Januar 1951",1950,Auto lithograph,1952-05-20,Architecture & Design,Design,French,Male,1887,1985
Henri Matisse,1974,"Paintings, Drawings, Sculptures, Tapestries",1952,Poster,1952-05-20,Architecture & Design,Design,French,Male,1869,1954
Pablo Picasso,1974,"Picasso, ""Les Menines,"" Galerie Louise Leiris",1959,Lithograph,1960-04-06,Architecture & Design,Design,Spanish,Male,1881,1973
Georges Rouault,1974,Miserere,1948,"22 aquatints or lift ground aquatints over photogravure, with drypoint, roulette, etching, and/or soft ground etching, printed in black",1949-03-24,Prints & Illustrated Books,Illustrated Book,French,Male,1871,1958
Maurice de Vlaminck,1974,Duhamel: Maurice de Vlaminck,1927,Four etchings,1956-03-19,Prints & Illustrated Books,Illustrated Book,French,Male,1876,1958
Hermann Finsterlin,1974,"Study for a House of Sociability, project",1920,Polychromed plaster and paint,1968-10-07,Architecture & Design,Architecture,German,Male,1887,1973
R. Buckminster Fuller,1974,"Dymaxion Dwelling Machine, Wichita House, project, Study for air circulation: floor plan",1945,Graphite on paper,1978-02-27,Architecture & Design,Architecture,American,Male,1895,1983
Antoni Gaudí,1974,Prayer Bench,1914,Spanish oak and wrought iron,1976-03-22,Architecture & Design,Design,Spanish,Male,1852,1926
David Jacob,1974,Simulated Dwelling for a Family of Five Project,1970,"Fiberglass, polyester resin, metal, paper, plastic and synthetic polymer paint",1973-05-08,Architecture & Design,Architecture,American,Male,1928,
André Kertész,1974,Distortion #34,1933,Gelatin silver print,1985-03-27,Photography,Photograph,American,Male,1894,1985
László Moholy-Nagy,1974,Soon in the Train by Escalator (Poster for London Transport),1937,Lithograph,1950-11-15,Architecture & Design,Design,American,Male,1895,1946
Alexander Rodchenko,1974,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Barry Flanagan,1974,Killary Harbour I,1979,Linoleum cut,1981-01-15,Prints & Illustrated Books,Print,British,Male,1941,2009
Bill Dane,1974,San Francisco,1980,Gelatin silver print,1981-10-15,Photography,Photograph,American,Male,1938,
Klaus Rinke,1973,Memory of the Skin,1987,13 pencil drawings (including front cover and broadside announcement),1988-05-04,Prints & Illustrated Books,Illustrated Book,German,Male,1939,
Ellsworth Kelly,1973,The Paris Review,1966,Silkscreen,1967-10-18,Architecture & Design,Design,American,Male,1923,2015
Helena Hernmarck,1973,Yin-Yang/Mao Tapestry,1971,"Cotton, wool, nylon, linen, plastic, and sequins",1972-04-11,Architecture & Design,Design,Swedish,Female,1941,
Robert Adams,1973,"Outdoor Theater and Cheyenne Mountain, Colorado Springs, Colorado",1968,Gelatin silver print,1970-03-04,Photography,Photograph,American,Male,1937,
Bill Arnold,1973,Honey under Sink,1971,Microfilm reader-printer machine print,1972-03-07,Photography,Photograph,American,Male,1941,
Lewis Baltz,1973,"West Wall, R-Ohm Corporation, 16931 Milliken, Irvine",1974,Gelatin silver print,1975-05-14,Photography,Photograph,American,Male,1945,2014
Francis Bedford,1973,The Doone Houses and Shepherd's Hut,1855,Albumen silver print,1972-05-02,Photography,Photograph,British,Male,1816,1894
John G. Bullock,1973,Father and Son Furrowing,1900,Gum platinum print (toned),1975-05-14,Photography,Photograph,American,Male,1854,1939
Jacques Lipchitz,1973,Plate 13 from 23 Gravures,1935,Drypoint with roulette,1945-01-03,Prints & Illustrated Books,Print,American,Male,1891,1973
Diego Rivera,1973,Angeline Beloff,1917,Pencil on paper,1975-01-24,Drawings,Drawing,Mexican,Male,1886,1957
Eleanor Antin,1973,100 Boots,1971,"51 postcards, halftone reproduction",2012-02-13,Photography,Photograph,American,Female,1935,
August Allebé,1973,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Bernardus Johannes Blommers,1973,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Émile-Antoine Bourdelle,1973,Isadora Duncan,1912,Ink on paper,1978-04-04,Drawings,Drawing,French,Male,1861,1929
George Hendrik Breitner,1973,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Robert Whitman,1973,Hole,1963,Poster,1963-06-12,Architecture & Design,Design,American,Male,1935,
Carl Andre,1973,25 plates from Untitled (Xerox Book),1968,Offset lithographs,1969-02-10,Prints & Illustrated Books,Illustrated Book,American,Male,1935,
Mark Cohen,1973,Untitled,1969,Gelatin silver print,1974-01-29,Photography,Photograph,American,Male,1943,
Karl Gerstner,1973,3 Liberale Partei: Liste 3,1959,Silkscreen,1960-04-06,Architecture & Design,Design,Swiss,Male,1930,
Peter Agostini,1973,Wax Drawing No. 2,1962,Wax on paper,1963-03-12,Drawings,Drawing,American,Male,1913,1993
Giorgio de Chirico,1973,Plate 3 from 23 Gravures,1935,Etching,1945-01-03,Prints & Illustrated Books,Print,Italian,Male,1888,1978
Alberto Giacometti,1973,Alberto Giacometti - Galerie Maeght,1957,Lithograph,1958-02-19,Architecture & Design,Design,Swiss,Male,1901,1966
Richard Hamilton,1973,"Soft Pink (plate, folio 18) from The Archives: Art Information Centre Peter Van Beveren",1981,"Photolithograph, with gouache additions",1981-10-22,Prints & Illustrated Books,Illustrated Book,British,Male,1922,2011
Chuck Close,1973,Robert (maquette),1973,"Black and white photographs with masking tape, airbrush, pen, ink, pencil and blue ballpoint pen mounted on foamcore",1996-03-14,Drawings,Drawing,American,Male,1940,
Liliana Porter,1973,Plate I from Wrinkle,1968,One from an illustrated book with ten photogravures,1973-10-24,Prints & Illustrated Books,Illustrated Book,American,Female,1941,
David Tremlett,1973,Art & Project Bulletin #96,1975,"One from a set of 156 offset printed bulletins, exhibition copy",2007-11-12,Prints & Illustrated Books,Print,British,Male,1945,
Luis Fernando Benedit,1973,Labyrinth for Ants,1970,".1 Pencil, felt-tip pen, transfer type and crayon, .2 and .3 Photographs",1972-02-07,Drawings,Drawing,Argentine,Male,1937,2011
Diane Arbus,1973,"Four People at a Gallery Opening, New York City",1968,Gelatin silver print,1994-01-13,Photography,Photograph,American,Female,1923,1971
Aleksandr Archipenko,1973,"Plate 2 from FUTURISTI, ASTRATTISTI, DADAISTI, PRECURSORI DELL' AVANGUARDIA, Volume 1/FUTURISTS, ABSTRACTIONISTS, DADAISTS, THE FORERUNNERS OF THE",1962,"Etching, printed in black",1967-06-06,Prints & Illustrated Books,Illustrated Book,American,Male,1887,1964
Constantin Brâncuși,1973,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Georges Braque,1973,"Exposition, Galerie Maeght",1959,Lithograph in six colors,1960-04-06,Architecture & Design,Design,French,Male,1882,1963
Marc Chagall,1973,"Chagall, Kunsthaus Zürich, Dezember 1950-Januar 1951",1950,Auto lithograph,1952-05-20,Architecture & Design,Design,French,Male,1887,1985
Rafael Canogar,1960,Plate 17 (folio 58) from DECLARACION UNIVERSAL DE DERECHOS HUMANOS,1984,"Soft ground etching, lift ground aquatint, and aquatint, printed in color",1986-05-20,Prints & Illustrated Books,Illustrated Book,Spanish,Male,1935,
Eduardo Chillida,1960,Die Kunst und der Raum,1969,Illustrated book with seven lithographs and one lithograph (folder),1975-01-07,Prints & Illustrated Books,Illustrated Book,Spanish,Male,1924,2002
Martin Chirino,1960,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Francisco Farreras,1960,Collage Number 242,1965,Collage of tinted and burned papers over wood,1965-06-08,Drawings,Drawing,Spanish,Male,1927,
Luis Feito,1960,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Louis I. Kahn,1961,"Memorial to the Six Million Jewish Martyrs, project, New York City, New York, Perspective of central pier",1968,Charcoal and graphite on tracing paper,1997-01-15,Architecture & Design,Architecture,American,Male,1901,1974
Mark Rothko,1961,Untitled,1945,Watercolor and gouache on paper,1991-05-23,Drawings,Drawing,American,Male,1903,1970
Harry Callahan,1962,Ireland,1979,Dye transfer print,1983-01-13,Photography,Photograph,American,Male,1912,1999
Robert Frank,1962,"Barber Shop through Screen Door--McClellanville, South Carolina",1955,Gelatin silver print,1975-02-12,Photography,Photograph,American,Male,1924,
Frank Lloyd Wright,1962,"Arch Oboler Guest House (Eleanor's Retreat), project, Malibu, California, Plan and elevation",1941,Graphite and colored pencil on tracing paper,1992-01-15,Architecture & Design,Architecture,American,Male,1867,1959
Ansel Adams,1962,New Mexico,1933,Gelatin silver print,1939-01-06,Photography,Photograph,American,Male,1902,1984
Eugène Atget,1962,Tuileries Sanglier / d'apres l'antique,1911,Albumen silver print,1968-03-06,Photography,Photograph,French,Male,1857,1927
Ruth Bernhard,1962,Puddle,1939,Gelatin silver print,1941-01-16,Photography,Photograph,American,Female,1905,2006
Bill Brandt,1962,Top Withens,1945,Gelatin silver print,1964-01-07,Photography,Photograph,British,Male,1904,1983
Francis Bruguière,1962,The Faithful,1919,Gelatin silver print,1964-01-07,Photography,Photograph,American,Male,1879,1945
Walker Evans,1963,"Houses, Salem, Massachusetts",1932,Gelatin silver print,1933-04-13,Photography,Photograph,American,Male,1903,1975
Ezra Stoller,1963,Japanese House in the Garden of the Museum of Modern Art,1955,Poster,1955-06-16,Architecture & Design,Design,American,Male,1915,2004
Frank Lloyd Wright,1963,"Arch Oboler Guest House (Eleanor's Retreat), project, Malibu, California, Plan and elevation",1941,Graphite and colored pencil on tracing paper,1992-01-15,Architecture & Design,Architecture,American,Male,1867,1959
Henri Lartigue,1963,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
André Derain,1963,Plate (folio 12) from HOMMAGE À ROGER LACOURIÈRE,1968,"Etching, printed in black",1976-01-08,Prints & Illustrated Books,Illustrated Book,French,Male,1880,1954
Le Corbusier (Charles-Édouard Jeanneret),1963,"Urban projects for Montevideo and São Paulo, Brazil. Aerial perspectives",1929,Ink on paper,1985-11-18,Architecture & Design,Architecture,French,Male,1887,1965
Rodolfo Abularach,1965,Untitled,1960,Ink on paper,1961-03-07,Drawings,Drawing,Guatemalan,Male,1933,
Jean (Hans) Arp,1965,Collages 1912 - 1955,1955,Lithograph,1956-04-04,Architecture & Design,Design,French,Male,1886,1966
Leonard Baskin,1965,Phaeneus Lancifer from Horned Beetles and Other Insects,1958,Etching,1967-02-09,Prints & Illustrated Books,Illustrated Book,American,Male,1922,2000
Peter Blume,1965,"Study for Parade (Waterfront, Manhattan)",1929,Gouache on board,1935-06-13,Drawings,Drawing,American,Male,1906,1992
Umberto Boccioni,1965,Study for Portrait of Ferrucio Busoni,1916,Pen and ink on paper,1952-01-22,Drawings,Drawing,Italian,Male,1882,1916
Berenice Abbott,1964,"Exchange Place, New York",1933,Gelatin silver print,1941-01-16,Photography,Photograph,American,Female,1898,1991
Manuel Álvarez Bravo,1964,"Coyoacan, Mexico, D.F",1975,Gelatin silver print,1977-03-10,Photography,Photograph,Mexican,Male,1902,2002
Emmy Andriesse,1964,"Amsterdam, Winter",1944,Gelatin silver print,1976-10-13,Photography,Photograph,Dutch,Female,1914,1953
Eugène Atget,1964,Tuileries Sanglier / d'apres l'antique,1911,Albumen silver print,1968-03-06,Photography,Photograph,French,Male,1857,1927
Richard Avedon,1964,John Lennon,1967,Offset lithograph,1988-04-27,Architecture & Design,Design,American,Male,1923,2004
